id,passageId,questionTypeId,question,potentialAnswers,correctAnswers
111,357,1,"Which word was at the end of this line: ""Hop like a _______.""","[""Snake"", ""Bunny"", ""Horse"", ""Frog""]","[""Bunny""]"
112,357,1,Which animal is in the story?,"[""Snail"", ""Cat"", ""Snake"", ""Bird""]","[""Snake""]"
113,357,1,Which of these words from the story has 3 syllables (beats)?,"[""Playground"", ""Cheetah"", ""Kangaroo"", ""Snake""]","[""Kangaroo""]"
114,357,1,Most of the animals in the story are zoo animals. Which of the animals below would NOT be in this group?,"[""Cows, pigs, horses"", ""Snakes, lizards, birds"", ""Lions, tigers, bears"", ""Giraffes, zebras, monkeys""]","[""Cows, pigs, horses""]"
115,357,1,Where is the child playing?,"[""School"", ""Playground"", ""Forest"", ""Beach""]","[""Playground""]"
116,357,1,How does the main character have fun at the playground?,"[""Pretending to be different animals."", ""Climbing on the monkey bars."", ""Running and playing tag."", ""Going on the swings.""]","[""Pretending to be different animals.""]"
117,357,1,The child in the story is having: _________.,"[""Fun"", ""No fun"", ""A boring day"", ""A sad day""]","[""Fun""]"
118,357,1,Why do you think the author most likely wrote this story?,"[""To warn children about how slides and swings in the park can be dangerous."", ""To remind you to take turns when playing at the park."", ""To entertain you with a story about a kid at the park."", ""To remind you to go to the park soon.""]","[""To entertain you with a story about a kid at the park.""]"
119,357,1,Which of these things would someone NOT do at the playground?,"[""Go on the swings."", ""Dig in the sandbox."", ""Climb the monkey bars."", ""Wash the car.""]","[""Wash the car.""]"
141,288,1,What happened first in the story?,"[""The little girl looked up at the big rock."", ""The little girl asked, \""How am I going to make a rock sing?\"""", ""The little girl played drums on the rock."", ""The little girl kicked the rock.""]","[""The little girl looked up at the big rock.""]"
175,1,1,Zeus turned lo into ______.,"[""His wife."", ""A cat."", ""A pig."", ""A cow.""]","[""A cow.""]"
496,355,1,Where does bunny live?,"[""On the deck"", ""In a cage"", ""In the garden"", ""In a shed""]","[""In a cage""]"
497,355,1,What is a good lunch for bunny?,"[""Tomatoes"", ""Flowers"", ""Sticks"", ""Carrots""]","[""Carrots""]"
499,355,1,How does the author create a rhythm through the story?,"[""By repeating a word three times at the end of every second line."", ""By using rhyming pairs."", ""By using a string of words that all start with the same sound."", ""By using a string of words that all have the same vowel sound.""]","[""By repeating a word three times at the end of every second line.""]"
500,355,1,"If bunny was given a stick, a flower, a tomato, and a carrot all side by side, which do you think he would choose to eat?","[""The carrot"", ""The stick"", ""The tomato"", ""The flower""]","[""The carrot""]"
1180,4,1,Who is Zeus most likely angry with?,"[""The humans."", ""The darkness."", ""The sky."", ""Himself.""]","[""The humans.""]"
1194,1,1,Zeus turned lo into ______.,"[""His wife."", ""A cat."", ""A pig."", ""A cow.""]","[""A cow.""]"
1196,1,1,"What does the word ""whispered"" mean?","[""To speak in a normal voice."", ""To speak in a loud voice."", ""To shout."", ""To speak softly and quietly.""]","[""To speak softly and quietly.""]"
1197,1,1,Which question could NOT be answered by reading this passage?,"[""What did Zeus turn lo into?"", ""How did Zeus speak to lo?"", ""What is Zeus' wife's name?"", ""Both A and B.""]","[""What is Zeus' wife's name?""]"
1198,1,1,What happens to lo?,"[""Io is turned into a cow."", ""Nothing."", ""Zeus and lo run away."", ""Zeus and lo continue to talk.""]","[""Io is turned into a cow.""]"
1503,273,1,"What is the purpose of the ellipses (...) in the sentence, ""'But...um...so...what do I do now?'""?","[""To build suspense and mystery."", ""To show that the broom is uncertain and unsure."", ""To show that the broom is excited and jolly."", ""To help readers follow the rhythm of the poem.""]","[""To show that the broom is uncertain and unsure.""]"
