id,passageId,questionTypeId,question,potentialAnswers,correctAnswers,Question Type
111,357,1,"Which word was at the end of this line: ""Hop like a _______.""","[""Snake"", ""Bunny"", ""Horse"", ""Frog""]","[""Bunny""]",Literal
112,357,1,Which animal is in the story?,"[""Snail"", ""Cat"", ""Snake"", ""Bird""]","[""Snake""]",Literal
115,357,1,Where is the child playing?,"[""School"", ""Playground"", ""Forest"", ""Beach""]","[""Playground""]",Literal
141,288,1,What happened first in the story?,"[""The little girl looked up at the big rock."", ""The little girl asked, \""How am I going to make a rock sing?\"""", ""The little girl played drums on the rock."", ""The little girl kicked the rock.""]","[""The little girl looked up at the big rock.""]",Literal
175,1,1,Zeus turned lo into ______.,"[""his wife."", ""a cat."", ""a pig."", ""a cow.""]","[""a cow.""]",Literal
496,355,1,Where does bunny live?,"[""On the deck"", ""In a cage"", ""In the garden"", ""In a shed""]","[""In a cage""]",Literal
497,355,1,What is a good lunch for bunny?,"[""Tomatoes"", ""Flowers"", ""Sticks"", ""Carrots""]","[""Carrots""]",Literal
498,355,3,Put the events of the story in the correct order:,"[""Bunny hops into the garden. Hop. Hop. Hop."", ""Bunny eats a flower. Munch. Munch. Munch."", ""Bunny eats a tomato. Chomp. Chomp. Chomp."", ""I pick a carrot from the garden. “Now that is a good lunch,” says bunny.""]","[""Bunny hops into the garden. Hop. Hop. Hop."", ""Bunny eats a flower. Munch. Munch. Munch."", ""Bunny eats a tomato. Chomp. Chomp. Chomp."", ""I pick a carrot from the garden. “Now that is a good lunch,” says bunny.""]",Literal
499,355,1,How does the author create a rhythm through the story?,"[""By repeating a word three times at the end of every second line."", ""By using rhyming pairs."", ""By using a string of words that all start with the same sound."", ""By using a string of words that all have the same vowel sound.""]","[""By repeating a word three times at the end of every second line.""]",Literal
500,355,1,"If bunny was given a stick, a flower, a tomato, and a carrot all side by side, which do you think he would choose to eat?","[""The carrot"", ""The stick"", ""The tomato"", ""The flower""]","[""The carrot""]",Literal
1178,4,4,Which two words from the passage are synonyms? Select both.,"[""Dark"", ""Rage"", ""White"", ""Anger""]","[""Rage"", ""Anger""]",Literal
1179,4,3,Put these events in the order they happened.,"[""Zeus was angry."", ""Zeus threw a lightning bolt down to Earth."", ""The sky flashed white."", ""Humans looked up in fear.""]","[""Zeus was angry."", ""Zeus threw a lightning bolt down to Earth."", ""The sky flashed white."", ""Humans looked up in fear.""]",Literal
1196,1,1,"What does the word ""whispered"" mean?","[""To speak in a normal voice."", ""To speak in a loud voice."", ""To shout."", ""To speak softly and quietly.""]","[""To speak softly and quietly.""]",Literal
1197,1,1,Which question could NOT be answered by reading this passage?,"[""What did Zeus turn lo into?"", ""How did Zeus speak to lo?"", ""What is Zeus' wife's name?"", ""Both A and B.""]","[""What is Zeus' wife's name?""]",Literal
1506,273,1,"What aspects of this passage make it ""fantasy""?","[""The story contains a broom."", ""The story contains a broom that comes to life."", ""The story contains a talking broom."", ""Both B and C.""]","[""Both B and C.""]",Literal
1565,262,1,Which description does NOT apply to the elf?,"[""Likes climbing trees."", ""Makes toys."", ""Was in the tree."", ""Bad at climbing trees.""]","[""Likes climbing trees.""]",Literal
1575,265,1,True or False: Cody was trying to catch the thief alone.,"[""True"", ""False""]","[""False""]",Literal
1834,288,1,The little girl DID NOT _________.,"[""Hum to the rock"", ""Kick the rock"", ""Play drums on the rock"", ""Sit on the rock""]","[""Sit on the rock""]",Literal
1835,288,1,What did the little girl want the rock to do?,"[""Sing"", ""Dance"", ""Tell a story"", ""Roll over""]","[""Sing""]",Literal
